13-07-2022 01:41:42;2;3;82.5;1
13-07-2022 02:14:50;3;4;120.0;2
13-07-2022 02:16:44;5;6;36.0;4
13-07-2022 02:16:51;6;7;31.5;5
14-07-2022 02:17:00;8;9;225.0;7
15-07-2022 02:22:32;10;1;1.8;1
15-07-2022 02:22:45;11;2;5.8;11
15-07-2022 02:22:54;12;3;22.5;12
16-07-2022 02:23:02;13;4;12.0;2
16-07-2022 02:23:18;14;5;39.0;1
17-07-2022 09:19:14;19;18;117.0;20
17-07-2022 09:19:29;18;17;85.0;20
17-07-2022 10:18:50;5;2;12.0;20
17-07-2022 10:19:03;12;1;7.5;12
17-07-2022 10:49:02;6;2;9.0;1
17-07-2022 10:49:24;19;1;6.5;1
17-07-2022 19:45:04;1;1;12.9;1
